"Company","Date","Close"
"Baidu",2017-05-09,182.98
"Alibaba",2017-05-09,120
"Tencent(HK)",2017-05-09,250.8
"Apple",2017-05-10,153.26
"Google",2017-05-10,954.84
"Amazon",2017-05-10,948.95
"Facebook",2017-05-10,150.29
"Baidu",2017-05-10,183.57
"Alibaba",2017-05-10,119.98
"Tencent(HK)",2017-05-10,250.4
"Apple",2017-05-11,153.95
"Google",2017-05-11,955.89
"Amazon",2017-05-11,947.62
"Facebook",2017-05-11,150.04
"Baidu",2017-05-11,186.6
"Alibaba",2017-05-11,120.16
"Tencent(HK)",2017-05-11,254.6
"Apple",2017-05-12,156.1
"Google",2017-05-12,955.14
"Amazon",2017-05-12,961.35
"Facebook",2017-05-12,150.33
"Baidu",2017-05-12,186.83
"Alibaba",2017-05-12,120.34
"Tencent(HK)",2017-05-12,258.2
"Apple",2017-05-15,155.7
"Google",2017-05-15,959.22
"Amazon",2017-05-15,957.97
"Facebook",2017-05-15,150.19
"Baidu",2017-05-15,186.14
"Alibaba",2017-05-15,121.4
"Tencent(HK)",2017-05-15,259
"Apple",2017-05-16,155.47
"Google",2017-05-16,964.61
"Amazon",2017-05-16,966.07
"Facebook",2017-05-16,149.78
"Baidu",2017-05-16,190.64
"Alibaba",2017-05-16,124.02
"Tencent(HK)",2017-05-16,258.8
"Apple",2017-05-17,150.25
"Google",2017-05-17,942.17
"Amazon",2017-05-17,944.76
"Facebook",2017-05-17,144.85
"Baidu",2017-05-17,186.05
"Alibaba",2017-05-17,120.72
"Tencent(HK)",2017-05-17,259.8
"Apple",2017-05-18,152.54
"Google",2017-05-18,950.5
"Amazon",2017-05-18,958.49
"Facebook",2017-05-18,147.66
"Baidu",2017-05-18,182.43
"Alibaba",2017-05-18,121.27
"Tencent(HK)",2017-05-18,264
"Apple",2017-05-19,153.06
"Google",2017-05-19,954.65
"Amazon",2017-05-19,959.84
"Facebook",2017-05-19,148.06
"Baidu",2017-05-19,188.76
"Alibaba",2017-05-19,123.22
"Tencent(HK)",2017-05-19,268.4
"Apple",2017-05-22,153.99
"Google",2017-05-22,964.07
"Amazon",2017-05-22,970.67
"Facebook",2017-05-22,148.24
"Baidu",2017-05-22,191.69
"Alibaba",2017-05-22,124.75
"Tencent(HK)",2017-05-22,275.4
"Apple",2017-05-23,153.8
"Google",2017-05-23,970.55
"Amazon",2017-05-23,971.54
"Facebook",2017-05-23,148.07
"Baidu",2017-05-23,191.8
"Alibaba",2017-05-23,122.93
"Tencent(HK)",2017-05-23,275.2
"Apple",2017-05-24,153.34
"Google",2017-05-24,977.61
"Amazon",2017-05-24,980.35
"Facebook",2017-05-24,150.04
"Baidu",2017-05-24,190.63
"Alibaba",2017-05-24,122.81
"Tencent(HK)",2017-05-24,273.6
"Apple",2017-05-25,153.87
"Google",2017-05-25,991.86
"Amazon",2017-05-25,993.38
"Facebook",2017-05-25,151.96
"Baidu",2017-05-25,191.95
"Alibaba",2017-05-25,123.63
"Tencent(HK)",2017-05-25,277.2
"Apple",2017-05-26,153.61
"Google",2017-05-26,993.27
"Amazon",2017-05-26,995.78
"Facebook",2017-05-26,152.13
"Baidu",2017-05-26,190.39
"Alibaba",2017-05-26,123.99
"Tencent(HK)",2017-05-26,278
"Tencent(HK)",2017-05-29,274.8
"Apple",2017-05-30,153.67
"Google",2017-05-30,996.17
"Amazon",2017-05-30,996.7
"Facebook",2017-05-30,152.38
"Baidu",2017-05-30,189.88
"Alibaba",2017-05-30,123.91
"Apple",2017-05-31,152.76
